	SAMPLES	Date	EC	FE	CP	SomPhg	HMBactPhg	CWBactPhg	PGBactPhg	PLBactPhg	BifSorb	BifTot	HMBif	CWBif	PGNeo	PLBif	TLBif	BacR	Pig2Bac	AllBac	HF183TaqMan	FEqPCR	HMMit	CWMit	PGMit	PLMit	Acesulfame	Cyclamate	Saccharain 	Sucralose	Adeno	NoV
UB	E01CW_F	11/11/13	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E02PG_F	11/11/13	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E03PG_F	11/11/13	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E04HM_F	11/11/13	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E05PL_F	11/11/13	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E06PL_F	11/11/13	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E07HM_W	28/01/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E08HM_W	28/01/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E09PG_W	28/01/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E10PG_W	28/01/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E11PG_W	28/01/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E12CW_W	28/01/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E13HM_P	06/05/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E14HM_P	06/05/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
	E15CW_P	06/05/14	-1.30	-1.30	-0.30	0.70	0.70	0.70	0.70	0.70	1.70	1.70	4.81	4.48	4.56	4.82	4.81	2.68	2.68	2.68	2.68	2.68	4.20	4.00	4.20	4.00	1.70	1.70	1.70	1.70	4.60	2.90
