SAMPLES;Date;EC;FE;CP;SomPhg;HMBactPhg;CWBactPhg;PGBactPhg;PLBactPhg;BifSorb;BifTot;HMBif;CWBif;PGNeo;PLBif;TLBif;BacR;Pig2Bac;AllBac;HF183TaqMan;FEqPCR;HMMit;CWMit;PGMit;PLMit;Acesulfame;Cyclamate;Saccharain ;Sucralose;Adeno;NoV;
E01CW_F;11/11/2013;5.43E+06;2.10E+05;8.00E+02;2.66E+05;<5;5.00E+01;<5;<5;<5E+01;8.40E+05;<6.40E+04;4.92E+05;<3.60E+04;<3.57E+03;4.64E+07;5.83E+04;7.51E+06;7.79E+08;2.21E+05;1.05E+08;5.2E+05;1.7E+07;<1.6E+04;<1.0E+04;100;480;<50;<50;<4.0E+04;<8.0E+02;
E02PG_F;11/11/2013;3.17E+07;2.70E+04;3.40E+04;2.05E+06;<5;<5;3.25E+03;<5;<5E+01;1.86E+06;<6.40E+04;2.85E+07;<3.60E+04;<3.57E+03;3.49E+07;<4.79E+02;4.87E+09;3.20E+09;1.77E+05;1.23E+08;1.8E+05;<1.0E+04;4.0E+08;<1.0E+04;<50;<50;<50;<50;<4.0E+04;2.40E+04;
E03PG_F;11/11/2013;3.54E+07;2.34E+04;1.73E+04;3.25E+07;<5;<5;3.37E+04;<5;<5E+01;1.77E+06;<6.40E+04;1.27E+06;6.54E+05;<3.57E+03;1.49E+07;<4.79E+02;1.77E+09;3.48E+09;1.29E+03;4.90E+08;8.3E+04;<1.0E+04;1.2E+08;<1.0E+04;<50;<50;<50;330;<4.0E+04;1.64E+05;
E04HM_F;11/11/2013;1.43E+06;7.86E+04;2.68E+04;2.00E+05;1.15E+03;<5;1.30E+03;3.00E+01;1.00E+04;1.75E+05;1.98E+06;<3.57E+03;<3.60E+04;<3.57E+03;5.71E+07;<4.79E+02;<4.79E+02;7.30E+09;5.97E+06;7.14E+08;1.8E+05;<1.0E+04;<1.6E+04;<1.0E+04;390;1240;<50;430;1.3E+05;9.12E+04;
E05PL_F;11/11/2013;2.69E+07;2.58E+05;3.23E+03;1.62E+06;<5;<5;<5;1.71E+02;<5E+01;9.83E+05;<6.40E+04;<3.57E+03;<3.60E+04;1.17E+07;3.26E+08;<4.79E+02;<4.79E+02;7.41E+09;7.21E+05;5.94E+08;<1.6E+04;<1.0E+04;<1.6E+04;7.7E+08;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
E06PL_F;11/11/2013;1.22E+06;2.58E+04;8.77E+03;2.37E+05;<5;<5;2.00E+01;3.45E+02;6.50E+03;1.95E+05;<6.40E+04;<3.57E+03;<3.60E+04;1.98E+07;1.13E+08;<4.79E+02;<4.79E+02;1.85E+10;8.71E+05;8.34E+07;<1.6E+04;<1.0E+04;<1.6E+04;2.2E+08;<50;<50;<50;<50;<4.0E+04;<8.0E+02;
E07HM_W;28/01/2014;4.59E+05;3.10E+04;3.86E+04;2.57E+05;4.90E+03;5.00E+00;2.10E+02;5.00E+00;5.00E+03;7.09E+04;1.03E+04;<3.57E+03;<3.60E+04;<3.57E+03;1.03E+08;<4.79E+02;1.43E+03;1.93E+09;7.61E+06;1.76E+08;7.5E+04;<1.0E+04;<1.6E+04;<1.0E+04;304;509;116;313;3.3E+05;4.32E+04;
E08HM_W;28/01/2014;4.41E+05;3.50E+04;2.14E+04;2.17E+05;6.30E+03;5.00E+00;<5;5.00E+00;2.00E+03;7.64E+04;1.89E+04;<3.57E+03;<3.60E+04;<3.57E+03;3.13E+07;<4.79E+02;3.75E+03;1.59E+09;7.18E+06;5.77E+08;1.7E+04;<1.0E+04;<1.6E+04;<1.0E+04;361;391;281;250;5.8E+04;1.84E+04;
E09PG_W;28/01/2014;6.00E+06;1.23E+04;5.09E+04;2.95E+06;<5;<5;1.61E+04;5.00E+00;5.00E+04;3.30E+07;<6.40E+04;<3.57E+03;<3.60E+04;<3.57E+03;4.67E+07;<4.79E+02;5.26E+08;8.80E+09;1.11E+04;3.19E+08;3.2E+05;<1.0E+04;1.7E+07;<1.0E+04;137;92;<50;324;<4.0E+04;2.69E+05;
E10PG_W;28/01/2014;1.18E+06;8.00E+04;4.64E+04;2.27E+06;<5;<5;3.54E+04;<5;5.45E+03;3.85E+06;<6.40E+04;<3.57E+03;<3.60E+04;<3.57E+03;4.41E+07;<4.79E+02;2.05E+08;2.46E+09;5.46E+04;1.05E+08;<1.6E+04;<1.0E+04;1.2E+07;<1.0E+04;66;50;<50;154;<4.0E+04;2.30E+05;
